# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-08-14
#
# GRDC-No.:              6242910
# River:                 LEITHA
# Station:               NICKELSDORF (KLAERANLAGE)
# Country:               --
# Latitude (DD):       47.94611111
# Longitude (DD):      17.0925
# Catchment area (km²):      
# Altitude (m ASL):        127.22
# Next downstream station:      -
# Remarks:               
# Owner of original data: Austria - Federal Ministry of Agriculture, Regions and Tourism (BMLRT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1984 - 2018
# No. of years:          35
# Last update:           2022-08-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 420
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
2007-04-01;--:--;   -999.000;      6.215; 100
2007-05-01;--:--;   -999.000;      4.917; 100
2007-06-01;--:--;   -999.000;      4.259; 100
2007-07-01;--:--;   -999.000;      1.968; 100
2007-08-01;--:--;   -999.000;      1.189; 100
2007-09-01;--:--;   -999.000;     13.670; 100
2007-10-01;--:--;   -999.000;      7.001; 100
2007-11-01;--:--;   -999.000;     11.996; 100
2007-12-01;--:--;   -999.000;     12.132; 100
2008-01-01;--:--;   -999.000;      9.737; 100
2008-02-01;--:--;   -999.000;      8.683; 100
2008-03-01;--:--;   -999.000;      7.526; 100
2008-04-01;--:--;   -999.000;      6.609; 100
2008-05-01;--:--;   -999.000;      6.604; 100
2008-06-01;--:--;   -999.000;      9.120; 100
2008-07-01;--:--;   -999.000;     13.239; 100
2008-08-01;--:--;   -999.000;     12.753; 100
2008-09-01;--:--;   -999.000;      8.444; 100
2008-10-01;--:--;   -999.000;      7.833; 100
2008-11-01;--:--;   -999.000;      6.516; 100
2008-12-01;--:--;   -999.000;      9.240; 100
2009-01-01;--:--;   -999.000;      7.894; 100
2009-02-01;--:--;   -999.000;     10.687; 100
2009-03-01;--:--;   -999.000;     13.626; 100
2009-04-01;--:--;   -999.000;     19.660; 100
2009-05-01;--:--;   -999.000;     10.968; 100
2009-06-01;--:--;   -999.000;     15.617; 100
2009-07-01;--:--;   -999.000;     19.290; 100
2009-08-01;--:--;   -999.000;     11.546; 100
2009-09-01;--:--;   -999.000;      9.393; 100
2009-10-01;--:--;   -999.000;      8.232; 100
2009-11-01;--:--;   -999.000;      8.708; 100
2009-12-01;--:--;   -999.000;      8.975; 100
2010-01-01;--:--;   -999.000;      8.753; 100
2010-02-01;--:--;   -999.000;      7.904; 100
2010-03-01;--:--;   -999.000;     10.503; 100
2010-04-01;--:--;   -999.000;     10.308; 100
2010-05-01;--:--;   -999.000;     11.987; 100
2010-06-01;--:--;   -999.000;     15.330; 100
2010-07-01;--:--;   -999.000;      8.658; 100
2010-08-01;--:--;   -999.000;      8.989; 100
2010-09-01;--:--;   -999.000;      9.635; 100
2010-10-01;--:--;   -999.000;      9.580; 100
2010-11-01;--:--;   -999.000;      8.421; 100
2010-12-01;--:--;   -999.000;     10.277; 100
2011-01-01;--:--;   -999.000;     10.626; 100
2011-02-01;--:--;   -999.000;      8.799; 100
2011-03-01;--:--;   -999.000;      7.394; 100
2011-04-01;--:--;   -999.000;      6.545; 100
2011-05-01;--:--;   -999.000;      4.887; 100
2011-06-01;--:--;   -999.000;      5.433; 100
2011-07-01;--:--;   -999.000;      4.885; 100
2011-08-01;--:--;   -999.000;      5.583; 100
2011-09-01;--:--;   -999.000;      3.921; 100
2011-10-01;--:--;   -999.000;      5.002; 100
2011-11-01;--:--;   -999.000;      3.636; 100
2011-12-01;--:--;   -999.000;      3.151; 100
2012-01-01;--:--;   -999.000;      6.334; 100
2012-02-01;--:--;   -999.000;      5.192; 100
2012-03-01;--:--;   -999.000;      9.017; 100
2012-04-01;--:--;   -999.000;      6.333; 100
2012-05-01;--:--;   -999.000;      5.293; 100
2012-06-01;--:--;   -999.000;      4.451; 100
2012-07-01;--:--;   -999.000;      6.670; 100
2012-08-01;--:--;   -999.000;      5.756; 100
2012-09-01;--:--;   -999.000;      4.826; 100
2012-10-01;--:--;   -999.000;      4.055; 100
2012-11-01;--:--;   -999.000;      7.218; 100
2012-12-01;--:--;   -999.000;      5.857; 100
2013-01-01;--:--;   -999.000;     10.215; 100
2013-02-01;--:--;   -999.000;     11.430; 100
2013-03-01;--:--;   -999.000;     15.577; 100
2013-04-01;--:--;   -999.000;     16.177; 100
2013-05-01;--:--;   -999.000;     15.897; 100
2013-06-01;--:--;   -999.000;     14.660; 100
2013-07-01;--:--;   -999.000;      8.251; 100
2013-08-01;--:--;   -999.000;      7.551; 100
2013-09-01;--:--;   -999.000;      7.743; 100
2013-10-01;--:--;   -999.000;      7.732; 100
2013-11-01;--:--;   -999.000;      9.886; 100
2013-12-01;--:--;   -999.000;     10.711; 100
2014-01-01;--:--;   -999.000;      8.436; 100
2014-02-01;--:--;   -999.000;      8.569; 100
2014-03-01;--:--;   -999.000;      7.465; 100
2014-04-01;--:--;   -999.000;      7.102; 100
2014-05-01;--:--;   -999.000;     15.663; 100
2014-06-01;--:--;   -999.000;      8.144; 100
2014-07-01;--:--;   -999.000;      8.215; 100
2014-08-01;--:--;   -999.000;     10.936; 100
2014-09-01;--:--;   -999.000;     17.287; 100
2014-10-01;--:--;   -999.000;     13.810; 100
2014-11-01;--:--;   -999.000;     12.200; 100
2014-12-01;--:--;   -999.000;     13.019; 100
2015-01-01;--:--;   -999.000;     13.239; 100
2015-02-01;--:--;   -999.000;     10.371; 100
2015-03-01;--:--;   -999.000;      9.776; 100
2015-04-01;--:--;   -999.000;     10.458; 100
2015-05-01;--:--;   -999.000;     10.315; 100
2015-06-01;--:--;   -999.000;      7.841; 100
2015-07-01;--:--;   -999.000;      4.227; 100
2015-08-01;--:--;   -999.000;      3.080; 100
2015-09-01;--:--;   -999.000;      3.643; 100
2015-10-01;--:--;   -999.000;      5.974; 100
2015-11-01;--:--;   -999.000;      3.883; 100
2015-12-01;--:--;   -999.000;      3.688; 100
2016-01-01;--:--;   -999.000;      3.925; 100
2016-02-01;--:--;   -999.000;      8.393; 100
2016-03-01;--:--;   -999.000;      6.753; 100
2016-04-01;--:--;   -999.000;      5.856; 100
2016-05-01;--:--;   -999.000;      7.322; 100
2016-06-01;--:--;   -999.000;     10.560; 100
2016-07-01;--:--;   -999.000;     10.075; 100
2016-08-01;--:--;   -999.000;     11.032; 100
2016-09-01;--:--;   -999.000;      8.049; 100
2016-10-01;--:--;   -999.000;      7.376; 100
2016-11-01;--:--;   -999.000;      9.901; 100
2016-12-01;--:--;   -999.000;      7.974; 100
2017-01-01;--:--;   -999.000;      6.650; 100
2017-02-01;--:--;   -999.000;      8.751; 100
2017-03-01;--:--;   -999.000;     10.894; 100
2017-04-01;--:--;   -999.000;     10.287; 100
2017-05-01;--:--;   -999.000;      8.661; 100
2017-06-01;--:--;   -999.000;      5.144; 100
2017-07-01;--:--;   -999.000;      4.365; 100
2017-08-01;--:--;   -999.000;      4.754; 100
2017-09-01;--:--;   -999.000;      5.772; 100
2017-10-01;--:--;   -999.000;      6.581; 100
2017-11-01;--:--;   -999.000;      6.417; 100
2017-12-01;--:--;   -999.000;      6.186; 100
2018-01-01;--:--;   -999.000;      7.582; 100
2018-02-01;--:--;   -999.000;      7.566; 100
2018-03-01;--:--;   -999.000;      7.625; 100
2018-04-01;--:--;   -999.000;      8.619; 100
2018-05-01;--:--;   -999.000;      7.157; 100
2018-06-01;--:--;   -999.000;     11.196; 100
2018-07-01;--:--;   -999.000;      8.227; 100
2018-08-01;--:--;   -999.000;      5.065; 100
2018-09-01;--:--;   -999.000;      6.649; 100
2018-10-01;--:--;   -999.000;      4.444; 100
2018-11-01;--:--;   -999.000;      5.798; 100
2018-12-01;--:--;   -999.000;      9.246; 100
