# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-08-14
#
# GRDC-No.:              6246185
# River:                 TEISCHNITZBACH
# Station:               SPOTTLING-TAURER
# Country:               --
# Latitude (DD):       47.0261
# Longitude (DD):      12.6344
# Catchment area (km²):      
# Altitude (m ASL):        1491.09
# Next downstream station:      -
# Remarks:               http://ehyd.gv.at/eHYD/MessstellenExtraData/owf?id=212126&file=4. AdaptAlp-ID: AU125
# Owner of original data: Austria - Federal Ministry of Agriculture, Regions and Tourism (BMLRT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1951 - 2018
# No. of years:          68
# Last update:           2022-08-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 816
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1966-07-01;--:--;   -999.000;      1.613; 100
1966-08-01;--:--;   -999.000;      1.911; 100
1966-09-01;--:--;   -999.000;      0.838; 100
1966-10-01;--:--;   -999.000;      0.377; 100
1966-11-01;--:--;   -999.000;      0.194; 100
1966-12-01;--:--;   -999.000;      0.153; 100
1967-01-01;--:--;   -999.000;      0.122; 100
1967-02-01;--:--;   -999.000;      0.074; 100
1967-03-01;--:--;   -999.000;      0.092; 100
1967-04-01;--:--;   -999.000;      0.159; 100
1967-05-01;--:--;   -999.000;      0.543; 100
1967-06-01;--:--;   -999.000;      1.244; 100
1967-07-01;--:--;   -999.000;      2.026; 100
1967-08-01;--:--;   -999.000;      1.265; 100
1967-09-01;--:--;   -999.000;      0.682; 100
1967-10-01;--:--;   -999.000;      0.364; 100
1967-11-01;--:--;   -999.000;      0.178; 100
1967-12-01;--:--;   -999.000;      0.135; 100
1968-01-01;--:--;   -999.000;      0.074; 100
1968-02-01;--:--;   -999.000;      0.068; 100
1968-03-01;--:--;   -999.000;      0.068; 100
1968-04-01;--:--;   -999.000;      0.236; 100
1968-05-01;--:--;   -999.000;      0.507; 100
1968-06-01;--:--;   -999.000;      0.892; 100
1968-07-01;--:--;   -999.000;      0.895; 100
1968-08-01;--:--;   -999.000;      0.715; 100
1968-09-01;--:--;   -999.000;      0.413; 100
1968-10-01;--:--;   -999.000;      0.255; 100
1968-11-01;--:--;   -999.000;      0.131; 100
1968-12-01;--:--;   -999.000;      0.069; 100
1969-01-01;--:--;   -999.000;      0.070; 100
1969-02-01;--:--;   -999.000;      0.063; 100
1969-03-01;--:--;   -999.000;      0.060; 100
1969-04-01;--:--;   -999.000;      0.197; 100
1969-05-01;--:--;   -999.000;      0.742; 100
1969-06-01;--:--;   -999.000;      0.551; 100
1969-07-01;--:--;   -999.000;      0.954; 100
1969-08-01;--:--;   -999.000;      0.818; 100
1969-09-01;--:--;   -999.000;      0.501; 100
1969-10-01;--:--;   -999.000;      0.313; 100
1969-11-01;--:--;   -999.000;      0.132; 100
1969-12-01;--:--;   -999.000;      0.085; 100
1970-01-01;--:--;   -999.000;      0.070; 100
1970-02-01;--:--;   -999.000;      0.063; 100
1970-03-01;--:--;   -999.000;      0.060; 100
1970-04-01;--:--;   -999.000;      0.078; 100
1970-05-01;--:--;   -999.000;      0.212; 100
1970-06-01;--:--;   -999.000;      1.388; 100
1970-07-01;--:--;   -999.000;      1.235; 100
1970-08-01;--:--;   -999.000;      1.165; 100
1970-09-01;--:--;   -999.000;      0.633; 100
1970-10-01;--:--;   -999.000;      0.225; 100
1970-11-01;--:--;   -999.000;      0.145; 100
1970-12-01;--:--;   -999.000;      0.095; 100
1971-01-01;--:--;   -999.000;      0.072; 100
1971-02-01;--:--;   -999.000;      0.064; 100
1971-03-01;--:--;   -999.000;      0.047; 100
1971-04-01;--:--;   -999.000;      0.120; 100
1971-05-01;--:--;   -999.000;      0.531; 100
1971-06-01;--:--;   -999.000;      0.719; 100
1971-07-01;--:--;   -999.000;      1.210; 100
1971-08-01;--:--;   -999.000;      1.246; 100
1971-09-01;--:--;   -999.000;      0.439; 100
1971-10-01;--:--;   -999.000;      0.249; 100
1971-11-01;--:--;   -999.000;      0.109; 100
1971-12-01;--:--;   -999.000;      0.046; 100
1972-01-01;--:--;   -999.000;      0.065; 100
1972-02-01;--:--;   -999.000;      0.060; 100
1972-03-01;--:--;   -999.000;      0.060; 100
1972-04-01;--:--;   -999.000;      0.135; 100
1972-05-01;--:--;   -999.000;      0.190; 100
1972-06-01;--:--;   -999.000;      1.172; 100
1972-07-01;--:--;   -999.000;      1.430; 100
1972-08-01;--:--;   -999.000;      0.745; 100
1972-09-01;--:--;   -999.000;      0.231; 100
1972-10-01;--:--;   -999.000;      0.140; 100
1972-11-01;--:--;   -999.000;      0.099; 100
1972-12-01;--:--;   -999.000;      0.082; 100
1973-01-01;--:--;   -999.000;      0.070; 100
1973-02-01;--:--;   -999.000;      0.063; 100
1973-03-01;--:--;   -999.000;      0.054; 100
1973-04-01;--:--;   -999.000;      0.066; 100
1973-05-01;--:--;   -999.000;      0.441; 100
1973-06-01;--:--;   -999.000;      1.079; 100
1973-07-01;--:--;   -999.000;      1.060; 100
1973-08-01;--:--;   -999.000;      1.208; 100
1973-09-01;--:--;   -999.000;      0.679; 100
1973-10-01;--:--;   -999.000;      0.264; 100
1973-11-01;--:--;   -999.000;      0.168; 100
1973-12-01;--:--;   -999.000;      0.112; 100
1974-01-01;--:--;   -999.000;      0.085; 100
1974-02-01;--:--;   -999.000;      0.086; 100
1974-03-01;--:--;   -999.000;      0.086; 100
1974-04-01;--:--;   -999.000;      0.165; 100
1974-05-01;--:--;   -999.000;      0.330; 100
1974-06-01;--:--;   -999.000;      0.935; 100
1974-07-01;--:--;   -999.000;      1.335; 100
1974-08-01;--:--;   -999.000;      1.457; 100
1974-09-01;--:--;   -999.000;      0.628; 100
1974-10-01;--:--;   -999.000;      0.268; 100
1974-11-01;--:--;   -999.000;      0.158; 100
1974-12-01;--:--;   -999.000;      0.134; 100
1975-01-01;--:--;   -999.000;      0.120; 100
1975-02-01;--:--;   -999.000;      0.110; 100
1975-03-01;--:--;   -999.000;      0.100; 100
1975-04-01;--:--;   -999.000;      0.184; 100
1975-05-01;--:--;   -999.000;      0.761; 100
1975-06-01;--:--;   -999.000;      1.392; 100
1975-07-01;--:--;   -999.000;      2.336; 100
1975-08-01;--:--;   -999.000;      1.560; 100
1975-09-01;--:--;   -999.000;      0.929; 100
1975-10-01;--:--;   -999.000;      0.383; 100
1975-11-01;--:--;   -999.000;      0.155; 100
1975-12-01;--:--;   -999.000;      0.098; 100
1976-01-01;--:--;   -999.000;      0.079; 100
1976-02-01;--:--;   -999.000;      0.068; 100
1976-03-01;--:--;   -999.000;      0.082; 100
1976-04-01;--:--;   -999.000;      0.130; 100
1976-05-01;--:--;   -999.000;      0.444; 100
1976-06-01;--:--;   -999.000;      0.954; 100
1976-07-01;--:--;   -999.000;      1.112; 100
1976-08-01;--:--;   -999.000;      0.573; 100
1976-09-01;--:--;   -999.000;      0.509; 100
1976-10-01;--:--;   -999.000;      0.344; 100
1976-11-01;--:--;   -999.000;      0.139; 100
1976-12-01;--:--;   -999.000;      0.083; 100
1977-01-01;--:--;   -999.000;      0.082; 100
1977-02-01;--:--;   -999.000;      0.075; 100
1977-03-01;--:--;   -999.000;      0.103; 100
1977-04-01;--:--;   -999.000;      0.138; 100
1977-05-01;--:--;   -999.000;      0.509; 100
1977-06-01;--:--;   -999.000;      1.399; 100
1977-07-01;--:--;   -999.000;      1.404; 100
1977-08-01;--:--;   -999.000;      0.909; 100
1977-09-01;--:--;   -999.000;      0.670; 100
1977-10-01;--:--;   -999.000;      0.324; 100
1977-11-01;--:--;   -999.000;      0.152; 100
1977-12-01;--:--;   -999.000;      0.087; 100
1978-01-01;--:--;   -999.000;      0.068; 100
1978-02-01;--:--;   -999.000;      0.052; 100
1978-03-01;--:--;   -999.000;      0.052; 100
1978-04-01;--:--;   -999.000;      0.054; 100
1978-05-01;--:--;   -999.000;      0.203; 100
1978-06-01;--:--;   -999.000;      1.091; 100
1978-07-01;--:--;   -999.000;      1.287; 100
1978-08-01;--:--;   -999.000;      1.097; 100
1978-09-01;--:--;   -999.000;      0.488; 100
1978-10-01;--:--;   -999.000;      0.358; 100
1978-11-01;--:--;   -999.000;      0.146; 100
1978-12-01;--:--;   -999.000;      0.079; 100
1979-01-01;--:--;   -999.000;      0.063; 100
1979-02-01;--:--;   -999.000;      0.044; 100
1979-03-01;--:--;   -999.000;      0.050; 100
1979-04-01;--:--;   -999.000;      0.065; 100
1979-05-01;--:--;   -999.000;      0.630; 100
1979-06-01;--:--;   -999.000;      1.750; 100
1979-07-01;--:--;   -999.000;      1.235; 100
1979-08-01;--:--;   -999.000;      1.011; 100
1979-09-01;--:--;   -999.000;      0.662; 100
1979-10-01;--:--;   -999.000;      0.325; 100
1979-11-01;--:--;   -999.000;      0.172; 100
1979-12-01;--:--;   -999.000;      0.136; 100
1980-01-01;--:--;   -999.000;      0.093; 100
1980-02-01;--:--;   -999.000;      0.075; 100
1980-03-01;--:--;   -999.000;      0.062; 100
1980-04-01;--:--;   -999.000;      0.096; 100
1980-05-01;--:--;   -999.000;      0.260; 100
1980-06-01;--:--;   -999.000;      0.902; 100
1980-07-01;--:--;   -999.000;      1.128; 100
1980-08-01;--:--;   -999.000;      1.484; 100
1980-09-01;--:--;   -999.000;      0.557; 100
1980-10-01;--:--;   -999.000;      0.281; 100
1980-11-01;--:--;   -999.000;      0.146; 100
1980-12-01;--:--;   -999.000;      0.104; 100
1981-01-01;--:--;   -999.000;      0.089; 100
1981-02-01;--:--;   -999.000;      0.073; 100
1981-03-01;--:--;   -999.000;      0.115; 100
1981-04-01;--:--;   -999.000;      0.260; 100
1981-05-01;--:--;   -999.000;      0.467; 100
1981-06-01;--:--;   -999.000;      1.210; 100
